,ret_1d,ret_5d,ma_gap,vol_20,dxy_chg_5d_dir,us10y_chg_5d_dir,cpi_surprise_dir,nfp_surprise_dir,fed_exp_level,fed_exp_chg,demand_chg_5d,gpr_level_z,gpr_chg_5d,ev_supply_5d,ev_geo_5d,ev_demand_5d,ev_cpi_5d,ev_jobs_5d,ev_fed_5d,ev_view_5d,inst_bias
2025-03-25,-0.0015929335060427263,0.03090753746307673,0.018400981047079767,0.013951566642030774,-0.45064069871223467,-0.019999999999999574,1.862267279563542,-0.14581506027074523,0.3803209760770727,-0.5434368697077019,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-03-26,0.00937619562855474,0.0364048680164748,0.027032243535857425,0.014057825843666442,-0.34642124123414053,-0.09999999999999964,1.8329339724529217,-0.13810112351800996,0.240782584902658,-0.759217415097342,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-03-27,0.003869031121465305,0.024027787868718953,0.03120782726797966,0.012894445442508996,-0.29971822042307306,-0.13999999999999968,1.8046032078816354,-0.1303532357177357,0.34017832734958703,-0.6598216726504129,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-03-28,-0.008041398874993888,0.015693434546045992,0.023453950749408037,0.01288211284413212,-0.11942861170575192,-0.019999999999999574,1.7772151000429819,-0.12256943169383301,0.33313119162017163,-0.5494702364819275,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-03-31,0.030107357818941693,0.033718252187925124,0.05133713065007317,0.013682706867697436,-0.4056401332534598,0.10999999999999943,1.750714665582747,-0.11474768892488482,0.22900294785412328,-0.08701075346879411,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-04-01,-0.003924871873297597,0.03138631382067025,0.04530381502980685,0.013726565555934914,-0.30169729519609056,0.13999999999999968,1.9892230470674983,-0.5867213893268596,0.28945462505529695,-0.09086635102177576,0.3021069769710616,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-04-02,0.007137389476553402,0.029147507668668915,0.04852672988067486,0.011637771362923424,-0.11462620923916589,0.14999999999999947,1.9516227755846658,-0.5755716174641471,0.25478644069581724,0.014003855793159242,0.3021069769710616,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-04-03,-0.06868413575730159,-0.04340565921009798,-0.020599986217373356,0.019990529039250825,1.2907300103036867,0.3200000000000003,1.91559646240477,-0.5644672737398524,0.7568657342013014,0.4166874068517144,0.3021069769710616,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-04-04,-0.0769729904233536,-0.11233725075845769,-0.09365715791772722,0.026268804805315602,0.4792012574089122,0.2599999999999998,1.8810302873766775,-0.5534039677183317,0.9084042219580042,0.5752730303378326,0.3021069769710616,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-04-07,-0.0210293836483757,-0.16347399222577508,-0.11047826725905185,0.026432861927894718,-0.09525876526645938,0.08000000000000007,1.847821655306516,-0.5423773117141317,0.4622249853688371,0.23322203751471382,0.3021069769710616,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-04-08,-0.018623750780315973,-0.17817287113279345,-0.12379624216030827,0.026558945220886084,-0.3424717124692833,-0.08999999999999986,1.8158778084053728,-0.5313829110502044,0.6521346679061483,0.3626800428508513,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-04-09,0.04544372484090875,-0.1398665357684381,-0.07425116516080266,0.028319476860218563,-0.19536148996961433,-0.13999999999999968,1.7851146429533113,-0.5204163540719401,0.2840844677454034,0.029298027049586173,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-04-10,-0.037253123263975674,-0.10843552327511219,-0.10638213862582635,0.029158244231253287,-0.2865352484855421,-0.34000000000000075,1.755455695566327,-0.509473201856429,0.2816653480851723,-0.47520038611612914,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-04-11,0.023526625950402114,-0.007935906901356482,-0.07843859220684024,0.0296941717410122,1.4279934728473775,-0.47000000000000064,1.7268312710522955,-0.49854897755195066,0.17038647211915273,-0.7380177498388515,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-04-14,0.000487685939926763,0.01358116268694598,-0.07326154524022588,0.029619081957225003,2.498182580845576,-0.22999999999999954,1.6991776890505184,-0.4876391552774529,0.6214893267117361,0.15926434134289896,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-04-15,-0.0032557411145059945,0.02894917235275596,-0.07217079397991721,0.029592670939758193,2.4362559787115323,-0.08999999999999986,1.6724366307865792,-0.4767391485056029,0.5660128875026629,-0.08612178040348539,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-04-16,0.018417321867586267,0.0019227693794334755,-0.05013390257713812,0.02998136587160593,2.6499668319802883,0.04999999999999982,1.6465545705808866,-0.46584429784576625,0.6191574555292901,0.3350729877838867,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-04-17,0.03476559320342698,0.07394148584683613,-0.012674713935228787,0.030899148834390707,1.5662448336784207,0.0600000000000005,1.6214822794072161,-0.45494985813480965,0.3949406080980113,0.113275260012839,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-04-18,0.0,0.05041485989643402,-0.00996647077436208,0.030897727952710976,0.8303747168718956,0.0600000000000005,1.590365269983996,-0.4538716886106909,0.3949406080980113,0.113275260012839,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-04-21,-0.025048272614068168,0.024878901342439086,-0.030449959588006337,0.031077235738219813,1.0879040723015931,-0.040000000000000036,1.5603757042839215,-0.45279475048303547,0.8103475600309512,0.18885823331921514,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-04-22,0.019311378051933836,0.04744602050887892,-0.007619013313548528,0.0315306757401598,1.0975471820061977,-0.0600000000000005,1.531438486311288,-0.45171903878147573,0.5527747927130334,-0.013238094789629451,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-04-23,-0.03223537126241105,-0.0032066726211184005,-0.03425423800888705,0.03200428197827814,0.20053150583586588,-0.11000000000000032,1.503485277307607,-0.45064454855660263,0.46937294428812887,-0.14978451124116127,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-04-24,0.008316056241657321,-0.02965620958288806,-0.0205603864561672,0.032088868218100065,0.16624732599257452,0.019999999999999574,1.4764537285916672,-0.44957127487983534,0.5482678626622505,0.15332725456423918,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-04-25,0.003656311203110718,-0.025999898379777342,-0.012111165445898742,0.03214432280427508,0.08187890540831688,0.019999999999999574,1.4502868182719635,-0.4484992128432907,0.409117112177956,0.15332725456423918,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-04-28,-0.015511624678512526,-0.0164632504442217,-0.020548931192379882,0.03114034434474641,-0.3295602729030511,0.1899999999999995,1.424932275593751,-0.44742835755965504,0.5952996255869897,-0.21504793444396153,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-04-29,-0.026620335692090435,-0.06239496418824597,-0.03896063476150058,0.031431709016797704,-0.14450548328466262,0.21999999999999975,1.4003420795441957,-0.44635870416205514,0.5867458355650386,0.03397104285200514,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-04-30,-0.037263014674881134,-0.06742260760071606,-0.06579499710583914,0.03185591019667631,0.3520416955225425,0.23000000000000043,1.3764720206418444,-0.4452902478039318,0.8071972371931899,0.33782429290506105,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-05-01,0.01753982811595378,-0.058198835726419595,-0.042137714853006436,0.02928803170922888,-0.17522865549834954,0.07000000000000028,1.1584576710385404,0.7141513800499172,0.0259946122982273,-0.5222732503640232,-0.7807293608039334,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-05-02,-0.016166437342139517,-0.07802158427166983,-0.05522702571232685,0.024272130892022424,0.3170423271037004,-0.040000000000000036,1.1412683127983885,0.7041997428144579,-0.3992945666417611,-0.8084116788197171,-0.7807293608039334,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-05-05,-0.020101179321087237,-0.08261113891424454,-0.07229748876696007,0.024236859904186524,0.371829305657867,-0.1299999999999999,1.1244306850216184,0.6943358466664301,-0.27295118363797133,-0.868250809224961,-0.7807293608039334,,0.0,0.0,0.0,0.0,,0.0,0.0,,
2025-05-06,0.033732332621212,-0.022258470600942104,-0.03815224404937112,0.025269498200709103,0.450836253531961,-0.10999999999999943,1.107929296147444,0.6845566619256435,-0.1962355385282592,-0.7829813740932978,-0.7807293608039334,,0.0,0.0,0.0,0.0,,0.0,0.0,,
